timestamp,machine_id,container_class,git_sha,outer_jobs,profile_base_sha,enforcement_kind,runner_name,run_id,step,inner_jobs,sample_index,sample_kind,elapsed_s,interval_s,cpu_usage_s,user_s,sys_s,effective_cores,user_cores,system_cores,throttled_s,interval_throttled_s,thread_count,sweep_id,sweep_logical_cpus,sweep_mode,sweep_pass,sweep_physical_cores,sweep_repeat,sweep_sample,sweep_target_s,sweep_width_source,workload_digest
2026-08-28T20:32:42,AMD_EPYC_9D64_88-Core_Processor,affinity176_cpu-max-15840000_100000,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,1,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,cgroup-v2,sweep,18d0124a5b98259a003f0e84,build.dagrun,158,23,periodic,5.750403,0.249876,16.352445,15.160075,1.192370,0.9871,0.9751,0.0119,0.000000,0.000000,7,18d011e41db30ce5003f0e84,158,target-time,1,88,2,26,0.000000,logical-threads,2f4c4ac59ef7e17b
2026-08-28T20:32:42,AMD_EPYC_9D64_88-Core_Processor,affinity176_cpu-max-15840000_100000,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,1,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,cgroup-v2,sweep,18d0124a5b98259a003f0e84,build.dagrun,158,24,periodic,6.000578,0.250174,16.660300,15.457075,1.203224,1.2306,1.1872,0.0434,0.000000,0.000000,11,18d011e41db30ce5003f0e84,158,target-time,1,88,2,26,0.000000,logical-threads,2f4c4ac59ef7e17b
2026-08-28T20:32:42,AMD_EPYC_9D64_88-Core_Processor,affinity176_cpu-max-15840000_100000,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,1,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,cgroup-v2,sweep,18d0124a5b98259a003f0e84,build.dagrun,158,25,periodic,6.250542,0.249964,18.148326,16.915221,1.233105,5.9530,5.8334,0.1195,0.000000,0.000000,17,18d011e41db30ce5003f0e84,158,target-time,1,88,2,26,0.000000,logical-threads,2f4c4ac59ef7e17b
2026-08-28T20:32:42,AMD_EPYC_9D64_88-Core_Processor,affinity176_cpu-max-15840000_100000,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,1,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,cgroup-v2,sweep,18d0124a5b98259a003f0e84,build.dagrun,158,26,periodic,6.500532,0.249990,21.075234,19.816446,1.258787,11.7081,11.6054,0.1027,0.000000,0.000000,23,18d011e41db30ce5003f0e84,158,target-time,1,88,2,26,0.000000,logical-threads,2f4c4ac59ef7e17b
2026-08-28T20:32:42,AMD_EPYC_9D64_88-Core_Processor,affinity176_cpu-max-15840000_100000,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,1,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,cgroup-v2,sweep,18d0124a5b98259a003f0e84,build.dagrun,158,27,periodic,6.750411,0.249879,24.877490,23.596513,1.280976,15.2164,15.1276,0.0888,0.000000,0.000000,22,18d011e41db30ce5003f0e84,158,target-time,1,88,2,26,0.000000,logical-threads,2f4c4ac59ef7e17b
2026-08-28T20:32:42,AMD_EPYC_9D64_88-Core_Processor,affinity176_cpu-max-15840000_100000,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,1,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,cgroup-v2,sweep,18d0124a5b98259a003f0e84,build.dagrun,158,28,periodic,7.000605,0.250194,27.672639,26.380473,1.292165,11.1719,11.1272,0.0447,0.000000,0.000000,15,18d011e41db30ce5003f0e84,158,target-time,1,88,2,26,0.000000,logical-threads,2f4c4ac59ef7e17b
2026-08-28T20:32:42,AMD_EPYC_9D64_88-Core_Processor,affinity176_cpu-max-15840000_100000,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,1,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,cgroup-v2,sweep,18d0124a5b98259a003f0e84,build.dagrun,158,29,periodic,7.250481,0.249876,28.727509,27.424279,1.303229,4.2216,4.1773,0.0443,0.000000,0.000000,11,18d011e41db30ce5003f0e84,158,target-time,1,88,2,26,0.000000,logical-threads,2f4c4ac59ef7e17b
2026-08-28T20:32:42,AMD_EPYC_9D64_88-Core_Processor,affinity176_cpu-max-15840000_100000,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,1,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,cgroup-v2,sweep,18d0124a5b98259a003f0e84,build.dagrun,158,30,periodic,7.500582,0.250101,30.985666,29.611429,1.374237,9.0290,8.7451,0.2839,0.000000,0.000000,25,18d011e41db30ce5003f0e84,158,target-time,1,88,2,26,0.000000,logical-threads,2f4c4ac59ef7e17b
2026-08-28T20:32:42,AMD_EPYC_9D64_88-Core_Processor,affinity176_cpu-max-15840000_100000,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,1,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,cgroup-v2,sweep,18d0124a5b98259a003f0e84,build.dagrun,158,31,periodic,7.750398,0.249815,34.934661,33.556331,1.378330,15.8077,15.7913,0.0164,0.000000,0.000000,25,18d011e41db30ce5003f0e84,158,target-time,1,88,2,26,0.000000,logical-threads,2f4c4ac59ef7e17b
2026-08-28T20:32:42,AMD_EPYC_9D64_88-Core_Processor,affinity176_cpu-max-15840000_100000,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,1,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,cgroup-v2,sweep,18d0124a5b98259a003f0e84,build.dagrun,158,32,periodic,8.000457,0.250060,38.894035,37.514609,1.379426,15.8337,15.8293,0.0044,0.000000,0.000000,25,18d011e41db30ce5003f0e84,158,target-time,1,88,2,26,0.000000,logical-threads,2f4c4ac59ef7e17b
2026-08-28T20:32:42,AMD_EPYC_9D64_88-Core_Processor,affinity176_cpu-max-15840000_100000,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,1,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,cgroup-v2,sweep,18d0124a5b98259a003f0e84,build.dagrun,158,33,periodic,8.250448,0.249991,42.852957,41.470461,1.382495,15.8363,15.8240,0.0123,0.000000,0.000000,25,18d011e41db30ce5003f0e84,158,target-time,1,88,2,26,0.000000,logical-threads,2f4c4ac59ef7e17b
2026-08-28T20:32:42,AMD_EPYC_9D64_88-Core_Processor,affinity176_cpu-max-15840000_100000,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,1,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,cgroup-v2,sweep,18d0124a5b98259a003f0e84,build.dagrun,158,34,periodic,8.500589,0.250141,46.521175,45.127664,1.393511,14.6646,14.6206,0.0440,0.000000,0.000000,20,18d011e41db30ce5003f0e84,158,target-time,1,88,2,26,0.000000,logical-threads,2f4c4ac59ef7e17b
2026-08-28T20:32:42,AMD_EPYC_9D64_88-Core_Processor,affinity176_cpu-max-15840000_100000,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,1,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,cgroup-v2,sweep,18d0124a5b98259a003f0e84,build.dagrun,158,35,periodic,8.750421,0.249832,48.707624,47.301140,1.406484,8.7517,8.6997,0.0519,0.000000,0.000000,13,18d011e41db30ce5003f0e84,158,target-time,1,88,2,26,0.000000,logical-threads,2f4c4ac59ef7e17b
2026-08-28T20:32:42,AMD_EPYC_9D64_88-Core_Processor,affinity176_cpu-max-15840000_100000,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,1,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,cgroup-v2,sweep,18d0124a5b98259a003f0e84,build.dagrun,158,36,periodic,9.000620,0.250199,49.525004,48.110628,1.414376,3.2669,3.2354,0.0315,0.000000,0.000000,12,18d011e41db30ce5003f0e84,158,target-time,1,88,2,26,0.000000,logical-threads,2f4c4ac59ef7e17b
2026-08-28T20:32:42,AMD_EPYC_9D64_88-Core_Processor,affinity176_cpu-max-15840000_100000,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,1,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,cgroup-v2,sweep,18d0124a5b98259a003f0e84,build.dagrun,158,37,periodic,9.250608,0.249988,49.905344,48.418631,1.486712,1.5214,1.2321,0.2894,0.000000,0.000000,26,18d011e41db30ce5003f0e84,158,target-time,1,88,2,26,0.000000,logical-threads,2f4c4ac59ef7e17b
2026-08-28T20:32:42,AMD_EPYC_9D64_88-Core_Processor,affinity176_cpu-max-15840000_100000,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,1,1bdc4e0f38149c807f27fe18fc00c4ada1725f4f,cgroup-v2,sweep,18d0124a5b98259a003f0e84,build.dagrun,158,38,final,9.327750,0.077142,49.945976,48.440151,1.505824,0.5267,0.2790,0.2478,0.000000,0.000000,0,18d011e41db30ce5003f0e84,158,target-time,1,88,2,26,0.000000,logical-threads,2f4c4ac59ef7e17b
